customer_id,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy_name,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,income_band,claim_severity,complaint_risk,risk_score,missing_income_flag
UO43395,Oregon,4927.11,No,Basic,Master,0011-01-31,Unemployed,M,,Suburban,Single,135,42,108,0,1,Personal Auto,Personal L3,1,Agent,648,SUV,Medsize,,Medium,None,0,1
WD48852,Oregon,17262,No,Basic,College,2024-04-01,Unemployed,F,,Suburban,Single,243,19,95,0,4,Special Auto,Special L2,3,Agent,1749.6,Luxury SUV,Medsize,,Medium,None,3,1
YZ79232,Oregon,6447.85,No,Basic,Master,2024-05-02,Unemployed,M,,Urban,Single,90,14,51,0,9,Personal Auto,Personal L3,2,Web,425.54,Four-Door Car,Medsize,,Low,None,0,1
ET90029,Arizona,34596.05,No,Extended,Doctor,2024-12-02,Medical Leave,F,19275,Urban,Married,181,8,12,0,2,Personal Auto,Personal L2,2,Web,467.53,Sports Car,Small,Low,Low,None,2,0
HB21182,Arizona,3264,No,Basic,Master,0011-02-26,Employed,F,27270,Suburban,Single,88,4,69,3,1,Personal Auto,Personal L3,2,Agent,421.2,Two-Door Car,Medsize,Low,Low,High,4,0
BG15419,Nevada,19163.74,No,Basic,Bachelor,2024-12-02,Employed,F,116579,Rural,Married,159,36,116,0,2,Personal Auto,Personal L3,1,Agent,385.31,Sports Car,Large,High,Low,None,0,0
VI35467,Nevada,5826.16,No,Basic,Master,0011-01-25,Employed,F,121226,Rural,Married,143,26,11,0,1,Personal Auto,Personal L3,2,Web,95.79,SUV,Small,High,Low,None,0,0
AN57220,Oregon,23305.91,No,Basic,Bachelor,0011-02-28,Employed,F,130838,Rural,Married,82,32,3,0,2,Special Auto,Special L3,4,Web,97.12,Four-Door Car,Medsize,High,Low,None,0,0
ZN27809,Oregon,10912.78,No,Basic,College,0011-01-13,Unemployed,F,,Suburban,Single,157,9,31,0,8,Personal Auto,Personal L3,1,Web,1107.03,SUV,Medsize,,Medium,None,0,1
DF95759,Oregon,12814.66,No,Extended,College,0011-01-15,Unemployed,M,,Suburban,Married,178,12,115,0,6,Personal Auto,Personal L3,2,Agent,855.36,SUV,Medsize,,Medium,None,0,1
ZQ51896,Oregon,28565.06,No,Basic,College,0011-01-22,Unemployed,M,,Suburban,Single,146,20,23,0,2,Special Auto,Special L1,4,Web,1049.76,SUV,Large,,Medium,None,0,1
GK13851,Oregon,12457.22,No,Extended,College,0011-01-24,Unemployed,M,,Suburban,Single,174,20,57,0,3,Personal Auto,Personal L1,3,Call Center,835.92,SUV,Medsize,,Medium,None,0,1
PZ98142,Arizona,18217.93,No,Extended,College,0011-01-26,Unemployed,F,,Suburban,Single,178,18,45,0,2,Personal Auto,Personal L2,3,Branch,1283.04,SUV,Medsize,,Medium,None,0,1
KO86181,Oregon,9371.53,No,Basic,College,2024-11-02,Unemployed,F,,Suburban,Single,150,4,99,3,6,Personal Auto,Personal L3,1,Agent,719.28,SUV,Small,,Medium,High,2,1
VK98618,Arizona,10465,No,Basic,College,0011-02-13,Unemployed,F,,Suburban,Single,142,19,28,0,7,Personal Auto,Personal L3,2,Agent,1020.6,SUV,Large,,Medium,None,0,1
MG99229,Oregon,7946.4,No,Basic,College,2024-04-02,Unemployed,M,,Suburban,Single,243,28,92,0,1,Corporate Auto,Corporate L3,2,Agent,2399.59,Luxury Car,Small,,High,None,3,1
NJ46849,Arizona,3381,No,Basic,College,2024-09-01,Unemployed,M,,Suburban,Single,93,31,20,0,1,Personal Auto,Personal L2,2,Branch,670.68,Four-Door Car,Medsize,,Medium,None,0,1
JI94264,Arizona,13572.3,No,Extended,College,0011-02-28,Disabled,M,22290,Suburban,Single,182,47,5,0,5,Personal Auto,Personal L3,2,Agent,1312.2,SUV,Large,Low,Medium,None,2,0
ZS96174,Oregon,9175.74,No,Basic,College,0011-01-19,Medical Leave,M,24215,Suburban,Single,88,1,36,0,2,Personal Auto,Personal L3,1,Branch,421.2,Two-Door Car,Medsize,Low,Low,None,2,0
LE84979,California,16480.96,No,Basic,Master,0011-02-27,Employed,F,28797,Urban,Divorced,139,24,113,0,2,Personal Auto,Personal L3,1,Agent,565.73,SUV,Large,Low,Medium,None,2,0
KB75939,Oregon,12718.49,No,Extended,Bachelor,2024-08-01,Disabled,F,31130,Rural,Divorced,170,41,89,0,3,Corporate Auto,Corporate L3,3,Branch,129.39,Sports Car,Medsize,Low,Low,None,0,0
UX93878,Oregon,11493.49,No,Basic,Bachelor,0011-01-16,Employed,F,46582,Urban,Married,143,18,59,0,9,Personal Auto,Personal L3,1,Branch,485.81,SUV,Small,Lower-Middle,Low,None,0,0
RF39856,Nevada,30718.79,No,Basic,Bachelor,2024-08-02,Employed,M,69440,Rural,Married,155,47,41,0,2,Corporate Auto,Corporate L1,3,Branch,329.52,SUV,Medsize,Upper-Middle,Low,None,0,0
JW62354,Nevada,5871.57,Yes,Basic,College,2024-10-02,Employed,F,102125,Rural,Married,146,38,14,0,1,Personal Auto,Personal L1,2,Branch,152.09,SUV,Large,High,Low,None,0,0
WC77067,Nevada,10559.63,No,Basic,College,0011-01-30,Unemployed,M,,Suburban,Single,154,36,53,0,4,Corporate Auto,Corporate L3,1,Agent,1234.33,SUV,Small,,Medium,None,0,1
PC30692,Oregon,10153.73,No,Basic,Bachelor,0011-02-13,Unemployed,M,,Suburban,Single,155,45,0,0,3,Personal Auto,Personal L3,1,Branch,1332.85,SUV,Medsize,,Medium,None,0,1
IU94124,Arizona,25256.82,No,Extended,College,2024-04-02,Unemployed,M,,Suburban,Single,104,14,49,1,2,Personal Auto,Personal L3,1,Branch,748.44,Four-Door Car,Small,,Medium,Low,2,1
YO29244,Oregon,10793.8,No,Basic,Bachelor,0011-01-31,Employed,F,34073,Rural,Divorced,135,41,80,0,7,Personal Auto,Personal L3,3,Branch,203.8,SUV,Medsize,Low,Low,None,0,0
VZ61940,Nevada,3602.79,No,Basic,Doctor,2024-07-02,Employed,F,70664,Urban,Married,89,5,9,0,1,Personal Auto,Personal L3,3,Agent,246.52,Four-Door Car,Small,Upper-Middle,Low,None,0,0
CP85232,Arizona,60473.88,No,Extended,College,2024-04-02,Employed,M,79350,Rural,Married,170,8,84,0,2,Special Auto,Special L3,1,Agent,407.75,SUV,Small,Upper-Middle,Low,None,0,0
UZ35113,California,13518.94,No,Extended,Bachelor,0011-01-26,Employed,F,100560,Rural,Married,167,15,49,0,3,Special Auto,Special L2,3,Branch,173.52,SUV,Medsize,High,Low,None,0,0
KD20203,Oregon,12788.49,No,Extended,College,0011-01-18,Unemployed,M,,Suburban,Married,177,5,66,0,9,Corporate Auto,Corporate L2,4,Agent,848.88,SUV,Small,,Medium,None,0,1
WE80653,Oregon,9216.69,No,Basic,Bachelor,2024-03-02,Unemployed,F,,Rural,Divorced,139,3,101,2,6,Personal Auto,Personal L3,1,Agent,3.31,SUV,Medsize,,Low,Low,2,1
QP69826,Arizona,4816.13,Yes,Basic,Bachelor,2024-07-01,Unemployed,M,,Suburban,Married,138,38,15,0,1,Corporate Auto,Corporate L2,2,Agent,891.58,SUV,Medsize,,Medium,None,0,1
UK59698,California,3097.31,No,Basic,High School or Below,2024-09-02,Unemployed,F,,Suburban,Divorced,84,7,42,0,1,Personal Auto,Personal L3,3,Branch,401.76,Two-Door Car,Medsize,,Low,None,0,1
VL34577,Oregon,3504.85,No,Basic,High School or Below,2024-09-02,Unemployed,F,,Suburban,Single,97,4,88,0,1,Personal Auto,Personal L3,1,Agent,466.56,Two-Door Car,Medsize,,Low,None,0,1
NM62724,Washington,2942.22,No,Basic,High School or Below,2024-09-02,Unemployed,M,,Suburban,Single,85,31,122,0,1,Personal Auto,Personal L3,3,Branch,734.89,Two-Door Car,Medsize,,Medium,None,0,1
TM23788,California,8152.68,No,Extended,High School or Below,2024-09-02,Unemployed,M,,Suburban,Divorced,120,8,66,1,3,Personal Auto,Personal L3,2,Agent,865.08,Four-Door Car,Medsize,,Medium,Low,2,1
